Name,Industry,Description,Short Description,Tags,Business Model,Customer Model,Website,Raised,Year Raised,Stage,Investors,PDF URL
Bolt,SaaS,"Bolt is an innovative payment processing company that offers an integrated checkout experience that enables retailers to convert and retain more consumers. This round of $333 million in Series D funding and $60 million in follow-on capital will ""fuel commerce’s first federated checkout network"", and brings Bolt’s total funding to over $600 million.",One-click checkout Bolt used this 12-page deck to describe raise $393M in Series D funding for expanding its network of 5.6 million consumers.,SaaS,SaaS,B2B2C,bolt.com,$393M,2021,Series D,VC,./BestPitchPDFs/bolt.pdf
Spotify,Music,"Spotify Technology S.A., together with its subsidiaries, provides audio streaming services worldwide. It operates in two segments, Premium and Ad-Supported. The Premium segment offers unlimited online and offline streaming access to its catalog of music and podcasts without commercial breaks to its subscribers. The Ad-Supported segment provides on-demand online access to its catalog of music and unlimited online access to the catalog of podcasts to its subscribers with no subscription fees. The company also offers sales, marketing, contract research and development, and customer support services. As of December 31, 2020, its platform included 345 million monthly active users and 155 million premium subscribers in 93 countries and territories. The company was founded in 2006 and is based in Luxembourg, Luxembourg.",Spotify is a premium streaming service that gives you on-demand access to millions of songs and the full lyrics catalog.,"Music, Entertainment, Audio","SaaS, Subscription",B2C,spotify.com,$100M,2012,Late Stage,Angel Investors,./BestPitchPDFs/spotify.pdf
WeWork,Proptech,"WeWork Companies Inc. operates as a real estate owners and developers. The Company offers shared office space for a monthly fee that includes Internet, phone service, mail handling, and other amenities. WeWork serves customers worldwide.",WeWork is a commercial real estate company that provides beautiful workspaces and serves communities by providing services.,"Proptech, Collaboration, Real Estate",Marketplace,B2B,wework.com,$335M,2014,Late Stage,Corporate,./BestPitchPDFs/wework.pdf
AirBnB,Travel & Events,"Airbnb, Inc., together with its subsidiaries, operates a platform for stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms and luxury villas. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",Airbnb is one of the world's largest marketplaces for listing and finding accommodations of local hosts all around the world. It is estimated to be worth about $38 billion.With the help of this pitch deck Airbnb was able to raise $600K in funding in 2008.Airbnb has raised a total of $5.4B in funding over 16 rounds,Travel & Events,"SaaS, E-commerce",,airbnb.com,$600k,2008,Pre-Seed,,./BestPitchPDFs/airbnb.pdf
Facebook,Social Media,"Facebook, Inc. operates a social networking website. The Company website allows people to communicate with their family, friends, and coworkers. Facebook develops technologies that facilitate the sharing of information, photographs, website links, and videos. Facebook users have the ability to share and restrict information based on their own specific criteria.","Facebook is a social network that connects you with recent grads, classmates, old friends, and distant relatives.","Social Media, IT",Marketplace,B2B2C,facebook.com,$500k,2004,Early Stage,"VC, Corporate",./BestPitchPDFs/facebook.pdf
Yuga Labs,Crypto,"Yuga Labs, the company that created the wildly popular Bored Ape Yacht Club NFT collection, is hoping to make hundreds of millions of dollars by selling off virtual plots of land. According to a leaked pitch deck obtained by The Block, the company also plans to launch a sweeping new metaverse initiative, as well as its own token.",Yuga Labs is the creator of Bored Ape Yacht Club and owner of the most valuable NFT projects on the market (over $3B in trading volume).,Crypto,Other,B2C,www.yugalabs.io,$127M,2022,$450M,$4B,./BestPitchPDFs/yugalabs.pdf
Copy.AI,SaaS,Copy.ai has created the world's most advanced artificial intelligence copywriter that enables you to create marketing copy in seconds!,"Over the last year, Copy.AI has established itself as one of the fastest-growing startups in recent history: rocketing past $1m ARR in less than 12 months. The AI-powered platform (based on GPT-3) offers powerful copywriting tools for businesses. On the one-year anniversary of their launch on Twitter, the startup announced their second round of funding: $11M from leading VC firms such as Sequoia, Craft, and Tiger (following on the heels of a $2.9M seed round in March). According to founder & CEO Paul Yacoubian, the company has grown from zero to $2.4 million in annual recurring revenue. Read more at https://vip.graphics/copy-ai-pitch-deck/",SaaS,SaaS,B2B,copy.ai,$11M,2021,Series A,VC,./BestPitchPDFs/copyai.pdf
Oshi Health,Healthcare,"Founded in 2020 by Sam Holliday, Oshi Health is a virtual gastrointestinal care clinic that treats digestive health issues. A patient’s journey at Oshi Health is guided by a GI-specialized, multidisciplinary care team comprised of a gastroenterologist, nurse practitioner, dietitian, psychologist, and GI health coach.
The company boasts partnerships with health platform Solera Health and virtual care provider Firefly Health as well as Aetna, which is owned by CVS Health, to provide certain members with virtual care for digestive disorders. The company has onboarded more than 1,200 patients since 2022 at a rate of roughly 200 to 300 users per month. The company estimates to have 5,000 patients using the platform by the end of 2023.
Oshi Health has raised $59.5 million to date including $30 million in Series B in April 2023. The round was led by new investor Koch Disruptive Technologies and joined by existing investors Bessemer Venture Partners, Flare Capital Partners, Frist Cressey Ventures, CVS Health Ventures, and Takeda Digital Ventures.",Oshi Health is a digital health platform that provides personalized support and resources for people with digestive health conditions.,"Health, MedTech, HealthTech, Telemedicine, Medicine, Medical, Therapy, GI",Other,B2C,oshihealth.com,$30M,2023,Series B,"VC — Koch Disruptive Technologies (Lead), Bessemer Venture Partners, Flare Capital Partners, Frist Cressey Ventures, CVS Health Ventures, Takeda Digital Ventures",./BestPitchPDFs/oshihealth.pdf
Quantexa,AI,"Founded in 2016 by Imam Hoque and Vishal Marria, Quantexa’s mission is to help businesses improve their decision-making by leveraging data. Using the latest advancements in big data and AI, Quantexa's platform uncovers hidden risks and new opportunities by providing a contextual, connected view of internal and external data in a single place.
Quantexa has seen a lot of global partnerships and its customers include Deloitte, Standard Chartered, Danske Bank, Moody’s, Google, Govia Thameslink Railway, Crown Commercial Service, Cabinet Office UK, and many other Fortune 500 companies.
Quantexa has raised a total of $370M in funding over 8 rounds. Their latest funding was raised on Apr 3, 2023, from a Series E round. The latest round was led by GIC, with participation from existing investors including Warburg Pincus, Dawn Capital, AlbionVC, Evolution Equity Partners, HSBC, ABN AMRO Ventures, and British Patient Capital.",Quantexa is a global data and analytics software company pioneering Contextual Decision Intelligence.,"Big Data, Analytics, Data, SaaS, Software, AI, Artifical Intelligence, Machine Learning",SaaS,B2B,www.quantexa.com,$129M,2023,Series E,"VC — GIC (Lead), HSBC, Warburg Pincus, Evolution Equity Partners, Dawn Capital, British Patient Capital, BNY Mellon, AlbionVC, ABN AMRO Ventures",./BestPitchPDFs/quantexa.pdf
Careerist,EdTech,"Careerist offers data-driven education products that help people develop the skills and knowledge they need to succeed in the tech industry. The platform provides advanced training in areas such as coding, software development, and data analysis.
With a 250% YOY growth rate despite the economic downturn and hiring freezes, Careerist recorded nearly $2 million in monthly revenue. Additionally, their graduates have already secured jobs at Google, Apple, Amazon, Slack, Salesforce, Samsung, Verizon, AT&T, Snap, Facebook, and others.
Careerist has raised $8 million in a Series A round from a range of investors, including Cathexis Ventures, Xploration Capital, Cold Start Ventures, Grand Park Ventures, Y Combinator, and angel investors like James Herbert from First Republic Bank and Mikita Mikado, the founder of PandaDoc.",Careerist is a Y-Combinator-backed online career training platform helping job seekers launch and grow their careers in tech.,"EdTech, Fintech, Recruiting, Jobs",Other,B2C,careerist.com,$8M,2023,Series A,"VC — Cathexis Ventures, Xploration Capital, Cold Start Ventures, Grand Park Ventures, Y Combinator",./BestPitchPDFs/careerist.pdf
