,Local Link,Stage,Industry,Region
0,./InsiderPitchPDFs/0xLabs.pdf,SeriesB,Fintech,N. America
1,./InsiderPitchPDFs/100plus.pdf,Seed,Healthcare,N. America
2,./InsiderPitchPDFs/10KC.pdf,Growth,Online learning,N. America
3,./InsiderPitchPDFs/1906.pdf,SeriesA,Cannabis,N. America
4,./InsiderPitchPDFs/1inchNetwork.pdf,SeriesB,Fintech,N. America
5,./InsiderPitchPDFs/7bridges.pdf,Seed,Europe,Europe
6,./InsiderPitchPDFs/7bridges.pdf,SeriesA,Data management,Europe
7,./InsiderPitchPDFs/8base.pdf,SeriesA,Enterprise software,N. America
8,./InsiderPitchPDFs/AChamps.pdf,Seed,Media,N. America
9,./InsiderPitchPDFs/Abatable.pdf,Seed,Enterprise software,Europe
10,./InsiderPitchPDFs/Ably.pdf,SeriesB,Data management,Europe
11,./InsiderPitchPDFs/AccelClub.pdf,SeriesA,Retail,Europe
12,./InsiderPitchPDFs/AccuRx.pdf,SeriesB,Healthcare,Europe
13,./InsiderPitchPDFs/Aceiss.pdf,Seed,Cybersecurity,N. America
14,./InsiderPitchPDFs/AceUp.pdf,Seed,Online learning,N. America
15,./InsiderPitchPDFs/Acin.pdf,SeriesA,Fintech,Europe
16,./InsiderPitchPDFs/Acquco.pdf,SeriesA,E-commerce,N. America
17,./InsiderPitchPDFs/AdaHealth.pdf,SeriesB,Healthcare,Europe
18,./InsiderPitchPDFs/AERAHealth.pdf,Pre-seed,Healthcare,Europe
19,./InsiderPitchPDFs/Aeris.pdf,SeriesA,Consumer tech,N. America
20,./InsiderPitchPDFs/AffiniT.pdf,SeriesB,Healthcare,N. America
21,./InsiderPitchPDFs/Afrocenchix.pdf,Seed,Retail,Europe
22,./InsiderPitchPDFs/AgaveGames.pdf,Seed,Media,Middle East
23,./InsiderPitchPDFs/AgBiome.pdf,SeriesD,Agriculture,N. America
24,./InsiderPitchPDFs/AgerasGroup.pdf,Venture,Fintech,Europe
25,./InsiderPitchPDFs/AgomAbTherapeutics.pdf,SeriesB,Healthcare,Europe
26,./InsiderPitchPDFs/Agora.pdf,Seed,Real estate,Middle East
27,./InsiderPitchPDFs/Agora.pdf,Seed,E-commerce,Europe
28,./InsiderPitchPDFs/AIRudder.pdf,SeriesB,Enterprise software,Asia
29,./InsiderPitchPDFs/Airbank.pdf,SeriesA,Fintech,Europe
30,./InsiderPitchPDFs/Airbase.pdf,SeriesB,Finance,N. America
31,./InsiderPitchPDFs/Airbnb.pdf,Seed,Hospitality,N. America
32,./InsiderPitchPDFs/Aircall.pdf,SeriesC,Cloud,Europe
33,./InsiderPitchPDFs/Aircall.pdf,SeriesD,Cloud,Europe
34,./InsiderPitchPDFs/airSlate.pdf,SeriesC,Enterprise software,N. America
35,./InsiderPitchPDFs/Aisera.pdf,SeriesD,Data management,N. America
36,./InsiderPitchPDFs/AkidoLabs.pdf,SeriesA,Healthcare,N. America
